batch,run_within,tank_pos,fish_id,n_samp,n_det,det_rate,x_sd,y_sd,pct_top,excluded,static_flag,extreme_pct,centroid_x,centroid_y,column,frame_row,frame_half
5,3,4,55,7200,4869,0.67625,52.32418326940659,30.17333943328912,0.46416101868966936,False,False,False,223.39294871794883,427.29647435897436,L,4,bottom_half
5,3,5,52,7200,3816,0.53,63.932247012219655,25.903498753282243,0.6273584905660378,False,False,False,490.8528846153847,78.8173076923077,R,1,top_half
5,3,6,53,7200,4975,0.6909722222222222,43.02343530434988,20.59126591389781,0.27839195979899495,False,False,False,479.8487179487181,210.03365384615384,R,2,top_half
5,3,7,57,7200,2863,0.3976388888888889,42.74290565031916,14.206462830866872,0.021306322039818373,False,False,False,467.1096153846155,326.86538461538464,R,3,bottom_half
5,3,8,56,7200,5172,0.7183333333333334,50.794515010994964,24.086334975130985,0.7188708430007734,False,False,False,455.5759615384617,429.95512820512823,R,4,bottom_half
5,4,1,51,7200,2799,0.38875,41.976158295985925,27.71741893127037,0.37513397642015006,False,False,False,192.61923076923077,74.57692307692308,L,1,top_half
5,4,2,56,7200,4637,0.6440277777777778,60.22628854844885,24.703591532008314,0.721155919775717,False,False,False,201.08493589743588,206.1971153846154,L,2,top_half
5,4,3,55,7200,5773,0.8018055555555555,55.34980530099807,33.12493186025717,0.39234366880304866,False,False,False,210.93589743589743,323.8333333333333,L,3,bottom_half
5,4,4,54,7200,4782,0.6641666666666667,49.498899566646074,24.576658314732278,0.191969887076537,False,False,False,223.39294871794883,427.29647435897436,L,4,bottom_half
5,4,5,58,7200,3441,0.47791666666666666,54.66633095321951,22.998469111707877,0.4306887532693984,False,False,False,490.8528846153847,78.8173076923077,R,1,top_half
5,4,6,52,7200,5829,0.8095833333333333,56.98387240131088,26.683626801004465,0.6234345513810259,False,False,False,479.8487179487181,210.03365384615384,R,2,top_half
5,4,7,53,7200,6250,0.8680555555555556,43.068885274031615,21.950594349168373,0.24816,False,False,False,467.1096153846155,326.86538461538464,R,3,bottom_half
5,4,8,57,7200,1379,0.19152777777777777,45.7955010018395,16.120079584576196,0.03988397389412618,False,False,False,455.5759615384617,429.95512820512823,R,4,bottom_half
5,5,1,58,7200,6430,0.8930555555555556,51.79784961039034,19.47157484833113,0.7968895800933126,False,False,False,192.61923076923077,74.57692307692308,L,1,top_half
