21," “F:\\P1-Batch04-Videos\\ZFish-P1-02-11-14 1100 Main-1GAB.mov""",106.4,21.5,96.4,126.5,313.4,130.5,284.4,26.5,116.4,159.5,112.4,258.5,314.4,257.5,285.4,155.5,132.4,285.5,129.4,366.5,319.4,371.5,293.4,285.5,148.4,392.5,149.4,462.5,320.4,466.5,301.4,393.5,417.4,26.5,385.4,130.5,597.4,133.5,595.4,34.5,411.4,167.5,379.4,258.5,580.4,259.5,580.4,170.5,406.4,288.5,381.4,369.5,567.4,372.5,569.4,288.5,395.4,396.5,372.4,471.5,546.4,469.5,547.4,395.5,0,0,.798,.1185
22," “F:\\P1-Batch04-Videos\\ZFish-P1-02-11-14 1430 Main-1GAB.mov""",111.4,23.5,100.4,129.5,316.4,129.5,289.4,26.5,121.4,157.5,118.4,256.5,314.4,257.5,285.4,155.5,132.4,285.5,130.4,368.5,319.4,371.5,293.4,285.5,148.4,392.5,149.4,464.5,320.4,466.5,301.4,393.5,422.4,25.5,389.4,131.5,604.4,134.5,599.4,35.5,411.4,167.5,379.4,258.5,580.4,259.5,580.4,170.5,404.4,286.5,377.4,370.5,564.4,374.5,563.4,286.5,395.4,396.5,372.4,471.5,546.4,469.5,547.4,395.5,0,0,.798,.1205
23," “F:\\P1-Batch04-Videos\\ZFish-P1-02-12-14 1100 Main-1GAB.mov""",97.4,24.5,88.4,130.5,305.4,131.5,277.4,27.5,111.4,159.5,107.4,256.5,310.4,259.5,278.4,154.5,123.4,283.5,122.4,368.5,312.4,371.5,287.4,283.5,140.4,392.5,140.4,465.5,318.4,465.5,293.4,387.5,400.4,25.5,369.4,124.5,587.4,128.5,582.4,29.5,393.4,165.5,363.4,258.5,563.4,261.5,564.4,169.5,389.4,284.5,360.4,373.5,545.4,371.5,548.4,283.5,377.4,394.5,354.4,468.5,530.4,466.5,531.4,394.5,0,0,1.198,.1105
24," “F:\\P1-Batch04-Videos\\ZFish-P1-02-12-14 1430 Main-1GAB.mov""",84.4,25.5,74.4,131.5,294.4,129.5,264.4,24.5,97.4,157.5,91.4,256.5,294.4,258.5,265.4,155.5,114.4,284.5,108.4,370.5,298.4,370.5,275.4,285.5,131.4,391.5,129.4,464.5,305.4,466.5,280.4,390.5,402.4,28.5,366.4,132.5,577.4,136.5,575.4,36.5,393.4,165.5,363.4,258.5,563.4,261.5,564.4,169.5,384.4,282.5,354.4,370.5,542.4,371.5,540.4,286.5,377.4,394.5,354.4,468.5,526.4,466.5,526.4,394.5,0,0,1.156,.1305
25," “F:\\P1-Batch05-Videos\\ZFish-P1-02-13-14 1100 Main-5GWT.mov""",85.4,0,73.4,112.5,317.4,114.5,284.4,.5,95.4,140.5,88.4,251.5,315.4,251.5,279.4,138.5,104.4,275.5,104.4,375.5,317.4,377.5,286.4,277.5,131.4,404.5,126.4,484.5,324.4,485.5,296.4,405.5,424.4,1.5,392.4,107.5,630.4,113.5,628.4,2.5,416.4,147.5,382.4,251.5,606.4,254.5,608.4,144.5,410.4,282.5,383.4,374.5,590.4,378.5,589.4,288.5,403.4,404.5,372.4,488.5,569.4,488.5,568.4,409.5,0,0,1.168,.1305
26," “F:\\P1-Batch05-Videos\\ZFish-P1-02-13-14 1430 Main-5GWT.mov""",107.4,21.5,95.4,124.5,311.4,126.5,280.4,24.5,121.4,160.5,114.4,253.5,315.4,251.5,284.4,156.5,134.4,280.5,132.4,365.5,321.4,374.5,292.4,282.5,152.4,389.5,151.4,458.5,323.4,465.5,301.4,392.5,421.4,26.5,386.4,127.5,599.4,132.5,595.4,34.5,416.4,153.5,380.4,257.5,582.4,257.5,581.4,160.5,405.4,279.5,375.4,372.5,563.4,374.5,561.4,284.5,398.4,390.5,372.4,465.5,549.4,469.5,546.4,394.5,0,0,.778,.1245
27," “F:\\P1-Batch05-Videos\\ZFish-P1-02-14-14 1100 Main-5GWT.mov""",111.4,22.5,100.4,123.5,319.4,126.5,290.4,19.5,121.4,160.5,114.4,253.5,312.4,251.5,284.4,156.5,134.4,280.5,132.4,365.5,321.4,374.5,292.4,282.5,152.4,389.5,151.4,458.5,323.4,465.5,301.4,392.5,411.4,25.5,378.4,127.5,594.4,132.5,588.4,31.5,416.4,153.5,380.4,257.5,582.4,257.5,581.4,160.5,408.4,281.5,378.4,372.5,563.4,374.5,561.4,284.5,398.4,390.5,372.4,465.5,549.4,469.5,546.4,394.5,0,0,1.03,.1385
28," “F:\\P1-Batch05-Videos\\ZFish-P1-02-14-14 1430 Main-5GWT.mov""",105.4,21.5,95.4,126.5,312.4,126.5,282.4,17.5,121.4,160.5,114.4,253.5,312.4,251.5,284.4,156.5,134.4,280.5,132.4,365.5,321.4,374.5,292.4,282.5,152.4,389.5,151.4,458.5,323.4,465.5,301.4,392.5,414.4,24.5,381.4,128.5,597.4,133.5,592.4,29.5,416.4,153.5,380.4,257.5,582.4,257.5,581.4,160.5,408.4,281.5,378.4,372.5,563.4,374.5,561.4,284.5,398.4,390.5,372.4,465.5,544.4,465.5,546.4,394.5,0,0,1.114,.1125
29," “F:\\P1-Batch05-Videos\\ZFish-P1-02-15-14 1100 Main-5GWT.mov""",131.4,23.5,121.4,126.5,339.4,124.5,307.4,16.5,133.4,157.5,128.4,252.5,328.4,252.5,299.4,158.5,146.4,278.5,144.4,364.5,332.4,369.5,304.4,277.5,163.4,385.5,165.4,461.5,335.4,464.5,315.4,391.5,421.4,22.5,387.4,128.5,607.4,134.5,603.4,26.5,429.4,156.5,394.4,255.5,597.4,259.5,599.4,160.5,420.4,282.5,393.4,370.5,579.4,374.5,581.4,284.5,404.4,393.5,383.4,463.5,555.4,465.5,557.4,395.5,0,0,.872,.1325
30," “F:\\P1-Batch05-Videos\\ZFish-P1-02-15-14 1430 Main-5GWT.mov""",85.4,23.5,75.4,127.5,293.4,127.5,265.4,22.5,97.4,159.5,93.4,253.5,293.4,253.5,263.4,154.5,111.4,281.5,112.4,365.5,298.4,367.5,270.4,278.5,130.4,390.5,130.4,461.5,304.4,465.5,282.4,389.5,399.4,26.5,361.4,126.5,580.4,134.5,573.4,34.5,395.4,160.5,359.4,256.5,562.4,256.5,560.4,159.5,385.4,283.5,357.4,371.5,544.4,368.5,544.4,285.5,378.4,393.5,350.4,466.5,525.4,464.5,528.4,397.5,0,0,1.198,.092
