fish,session,tank,include,strain,y1.n,entrytotop.min,y1.mean,topbottom.mean,y1.sd,topbottom.sd,y1.skew,y1.se,
32,3,17,1,5G,3760,2165.00,38.9406,.4625,21.06935,.49866,.138,.040,
34,3,18,1,5G,6006,1945.00,36.5175,.6051,15.35681,.48888,-.582,.032,
31,3,21,1,5G,1221,2380.00,48.1359,.2121,17.89655,.40898,.767,.070,
36,3,22,1,5G,2759,18000.00,53.1377,.5477,21.90799,.49781,-.154,.047,
35,3,23,1,5G,2368,1865.00,46.6319,.5866,19.65344,.49255,-.325,.050,
34,3,24,1,5G,5239,1830.00,42.8862,.7425,13.23475,.43729,-.830,.034,
38,3,25,1,5G,819,38015.00,42.0114,.3394,21.46794,.47381,.711,.085,
32,3,26,1,5G,3484,1810.00,60.2503,.8011,14.91640,.39924,-.643,.041,
33,3,27,1,5G,6563,2610.00,35.6401,.4339,23.55238,.49566,.139,.030,
37,3,28,1,5G,682,17695.00,13.1821,.0762,12.83953,.26559,1.514,.094,
38,3,31,1,5G,1049,32455.00,51.7665,.4938,20.71786,.50020,.086,.076,
35,3,32,1,5G,2516,17075.00,52.7501,.5596,26.44617,.49653,-.141,.049,
31,3,33,1,5G,4397,7685.00,39.0207,.4630,22.90066,.49869,.105,.037,
33,3,34,1,5G,5580,2735.00,31.8173,.5668,16.89936,.49556,-.447,.033,
34,3,35,1,5G,5201,1805.00,68.5531,.7579,20.52341,.42838,-.716,.034,
37,3,36,1,5G,768,2460.00,45.8332,.3971,20.77590,.48962,.367,.088,
36,3,37,1,5G,5850,4225.00,40.4999,.4740,24.48325,.49937,.004,.032,
32,3,38,1,5G,4911,2245.00,27.4420,.3549,16.40718,.47854,.233,.035,
35,3,41,1,5G,1855,17935.00,57.2084,.5801,26.53588,.49368,-.247,.057,
38,3,42,0,5G,,,,,,,,,
34,3,43,1,5G,6337,1805.00,51.5828,.6958,17.93962,.46012,-.516,.031,
32,3,44,1,5G,3565,1835.00,27.9020,.4816,17.19525,.49973,-.166,.041,
36,3,45,1,5G,6381,4530.00,57.3748,.5632,21.87768,.49602,-.001,.031,
31,3,46,1,5G,7061,1995.00,56.3238,.6338,21.54868,.48181,-.267,.029,
33,3,47,1,5G,7377,1805.00,40.2135,.5163,23.63556,.49977,-.138,.029,
37,3,48,1,5G,1798,13555.00,23.9388,.2380,14.94004,.42600,.458,.058,
31,3,51,1,5G,4723,2065.00,64.6892,.6890,20.70144,.46296,-.513,.036,
